"source_path","manifest_staged_path","resolved_staged_path","file_name","category","extension","expected_sha256","actual_sha256","sha_match","size_bytes","static_status","static_detail","promotion_decision"
"D:\SOURCE FACTORY\prompts\stage4\DONE_LIGHT_REPORT_GENERATOR_PROMPT.txt","._staging\p0_core_import_20260730_174852\source_files\D\SOURCE_FACTORY\prompts\stage4\DONE_LIGHT_REPORT_GENERATOR_PROMPT.txt","E:\YOLLA\source-factory-core\_staging\p0_core_import_20260730_174852\source_files\D\SOURCE_FACTORY\prompts\stage4\DONE_LIGHT_REPORT_GENERATOR_PROMPT.txt","DONE_LIGHT_REPORT_GENERATOR_PROMPT.txt","P0_DAILY_QUEUE_RUNNER",".txt","eded8f96bf9b182a637a70306554d53a2ee5725a700db589a429304855745b91","8df0f51284f4c92ff4a60fcbba4f12e79b27163197e466c2c14d22c516015c39","False","4219","PASS_NO_COMPILE_CHECK_REQUIRED","","BLOCKED_SHA_MISMATCH"
"D:\SOURCE FACTORY\assembled\STAGE4_35_GREEN_CREATE_READY_ASSEMBLED_ROOT_SANDBOX\prompts\stage4\DONE_LIGHT_REPORT_GENERATOR_PROMPT.txt","._staging\p0_core_import_20260730_174852\source_files\D\SOURCE_FACTORY\assembled\STAGE4_35_GREEN_CREATE_READY_ASSEMBLED_ROOT_SANDBOX\prompts\stage4\DONE_LIGHT_REPORT_GENERATOR_PROMPT.txt","E:\YOLLA\source-factory-core\_staging\p0_core_import_20260730_174852\source_files\D\SOURCE_FACTORY\assembled\STAGE4_35_GREEN_CREATE_READY_ASSEMBLED_ROOT_SANDBOX\prompts\stage4\DONE_LIGHT_REPORT_GENERATOR_PROMPT.txt","DONE_LIGHT_REPORT_GENERATOR_PROMPT.txt","P0_DAILY_QUEUE_RUNNER",".txt","eded8f96bf9b182a637a70306554d53a2ee5725a700db589a429304855745b91","8df0f51284f4c92ff4a60fcbba4f12e79b27163197e466c2c14d22c516015c39","False","4219","PASS_NO_COMPILE_CHECK_REQUIRED","","BLOCKED_SHA_MISMATCH"
"D:\SOURCE FACTORY\assembled\20260703_STAGE4_SLIM_PANEL_RUNTIME_CANDIDATE\prompts\stage4\DONE_LIGHT_REPORT_GENERATOR_PROMPT.txt","._staging\p0_core_import_20260730_174852\source_files\D\SOURCE_FACTORY\assembled\20260703_STAGE4_SLIM_PANEL_RUNTIME_CANDIDATE\prompts\stage4\DONE_LIGHT_REPORT_GENERATOR_PROMPT.txt","E:\YOLLA\source-factory-core\_staging\p0_core_import_20260730_174852\source_files\D\SOURCE_FACTORY\assembled\20260703_STAGE4_SLIM_PANEL_RUNTIME_CANDIDATE\prompts\stage4\DONE_LIGHT_REPORT_GENERATOR_PROMPT.txt","DONE_LIGHT_REPORT_GENERATOR_PROMPT.txt","P0_DAILY_QUEUE_RUNNER",".txt","eded8f96bf9b182a637a70306554d53a2ee5725a700db589a429304855745b91","8df0f51284f4c92ff4a60fcbba4f12e79b27163197e466c2c14d22c516015c39","False","4219","PASS_NO_COMPILE_CHECK_REQUIRED","","BLOCKED_SHA_MISMATCH"
"D:\SOURCE FACTORY\assembled\STAGE4_35_GREEN_CREATE_READY_ASSEMBLED_ROOT_SANDBOX\src\shared\stage4\greenOutputAssemblyQueue.js","._staging\p0_core_import_20260730_174852\source_files\D\SOURCE_FACTORY\assembled\STAGE4_35_GREEN_CREATE_READY_ASSEMBLED_ROOT_SANDBOX\src\shared\stage4\greenOutputAssemblyQueue.js","E:\YOLLA\source-factory-core\_staging\p0_core_import_20260730_174852\source_files\D\SOURCE_FACTORY\assembled\STAGE4_35_GREEN_CREATE_READY_ASSEMBLED_ROOT_SANDBOX\src\shared\stage4\greenOutputAssemblyQueue.js","greenOutputAssemblyQueue.js","P0_DAILY_QUEUE_RUNNER",".js","5869b5f127038e8e21becabd9c61faaf5fc630595a73bb26a8092b7df318477e","eabfb6177b9e8419617e44d42329145803e8f74047ed5c6e0b706bc2d26ff26b","False","15754","PASS_NODE_CHECK","","BLOCKED_SHA_MISMATCH"
"D:\SOURCE FACTORY\assembled\20260703_STAGE4_SLIM_PANEL_RUNTIME_CANDIDATE\src\shared\stage4\greenOutputAssemblyQueue.js","._staging\p0_core_import_20260730_174852\source_files\D\SOURCE_FACTORY\assembled\20260703_STAGE4_SLIM_PANEL_RUNTIME_CANDIDATE\src\shared\stage4\greenOutputAssemblyQueue.js","E:\YOLLA\source-factory-core\_staging\p0_core_import_20260730_174852\source_files\D\SOURCE_FACTORY\assembled\20260703_STAGE4_SLIM_PANEL_RUNTIME_CANDIDATE\src\shared\stage4\greenOutputAssemblyQueue.js","greenOutputAssemblyQueue.js","P0_DAILY_QUEUE_RUNNER",".js","5869b5f127038e8e21becabd9c61faaf5fc630595a73bb26a8092b7df318477e","eabfb6177b9e8419617e44d42329145803e8f74047ed5c6e0b706bc2d26ff26b","False","15754","PASS_NODE_CHECK","","BLOCKED_SHA_MISMATCH"
"D:\SOURCE FACTORY\src\shared\stage4\greenOutputAssemblyQueue.js","._staging\p0_core_import_20260730_174852\source_files\D\SOURCE_FACTORY\src\shared\stage4\greenOutputAssemblyQueue.js","E:\YOLLA\source-factory-core\_staging\p0_core_import_20260730_174852\source_files\D\SOURCE_FACTORY\src\shared\stage4\greenOutputAssemblyQueue.js","greenOutputAssemblyQueue.js","P0_DAILY_QUEUE_RUNNER",".js","5869b5f127038e8e21becabd9c61faaf5fc630595a73bb26a8092b7df318477e","eabfb6177b9e8419617e44d42329145803e8f74047ed5c6e0b706bc2d26ff26b","False","15754","PASS_NODE_CHECK","","BLOCKED_SHA_MISMATCH"
"D:\SOURCE FACTORY\assembled\20260703_STAGE4_SLIM_PANEL_RUNTIME_CANDIDATE\src\shared\stage4\promptPackageVersionManager.js","._staging\p0_core_import_20260730_174852\source_files\D\SOURCE_FACTORY\assembled\20260703_STAGE4_SLIM_PANEL_RUNTIME_CANDIDATE\src\shared\stage4\promptPackageVersionManager.js","E:\YOLLA\source-factory-core\_staging\p0_core_import_20260730_174852\source_files\D\SOURCE_FACTORY\assembled\20260703_STAGE4_SLIM_PANEL_RUNTIME_CANDIDATE\src\shared\stage4\promptPackageVersionManager.js","promptPackageVersionManager.js","P0_DAILY_QUEUE_RUNNER",".js","d9afbca9005a143923aa170f482af3dc200c5cd71198e3a82c5cd477c26e3643","8dddcf9f3b1e31c9a4bd171278708faba1c21b4ddc984520b3fbf660a9abdaa7","False","15050","PASS_NODE_CHECK","","BLOCKED_SHA_MISMATCH"
"D:\SOURCE FACTORY\src\shared\stage4\promptPackageVersionManager.js","._staging\p0_core_import_20260730_174852\source_files\D\SOURCE_FACTORY\src\shared\stage4\promptPackageVersionManager.js","E:\YOLLA\source-factory-core\_staging\p0_core_import_20260730_174852\source_files\D\SOURCE_FACTORY\src\shared\stage4\promptPackageVersionManager.js","promptPackageVersionManager.js","P0_DAILY_QUEUE_RUNNER",".js","d69651c71d2b9f5da7391653a8687120123738dfa15ccb42eb410aace8a30354","10824fc6d5a21624f3bd74e943d270397ec46ddbda79f1788394adbda31299d1","False","20152","PASS_NODE_CHECK","","BLOCKED_SHA_MISMATCH"
"D:\SOURCE FACTORY\assembled\STAGE4_35_GREEN_CREATE_READY_ASSEMBLED_ROOT_SANDBOX\src\shared\stage4\promptPackageVersionManager.js","._staging\p0_core_import_20260730_174852\source_files\D\SOURCE_FACTORY\assembled\STAGE4_35_GREEN_CREATE_READY_ASSEMBLED_ROOT_SANDBOX\src\shared\stage4\promptPackageVersionManager.js","E:\YOLLA\source-factory-core\_staging\p0_core_import_20260730_174852\source_files\D\SOURCE_FACTORY\assembled\STAGE4_35_GREEN_CREATE_READY_ASSEMBLED_ROOT_SANDBOX\src\shared\stage4\promptPackageVersionManager.js","promptPackageVersionManager.js","P0_DAILY_QUEUE_RUNNER",".js","d9afbca9005a143923aa170f482af3dc200c5cd71198e3a82c5cd477c26e3643","8dddcf9f3b1e31c9a4bd171278708faba1c21b4ddc984520b3fbf660a9abdaa7","False","15050","PASS_NODE_CHECK","","BLOCKED_SHA_MISMATCH"
"D:\SOURCE FACTORY\assembled\20260703_STAGE4_SLIM_PANEL_RUNTIME_CANDIDATE\src\shared\stage4\promptQueueManager.js","._staging\p0_core_import_20260730_174852\source_files\D\SOURCE_FACTORY\assembled\20260703_STAGE4_SLIM_PANEL_RUNTIME_CANDIDATE\src\shared\stage4\promptQueueManager.js","E:\YOLLA\source-factory-core\_staging\p0_core_import_20260730_174852\source_files\D\SOURCE_FACTORY\assembled\20260703_STAGE4_SLIM_PANEL_RUNTIME_CANDIDATE\src\shared\stage4\promptQueueManager.js","promptQueueManager.js","P0_DAILY_QUEUE_RUNNER",".js","453ae326ddcc28872e89b658bab66ec80f7ecbcfb57ccad4e4fe631f479eacf1","8f162161e6a9276d656092b189c7ce1d683067a73608fee41e70ed69c5320b18","False","15848","PASS_NODE_CHECK","","BLOCKED_SHA_MISMATCH"
