"kind","group","role","language","relative_path","exists","sha256","size_bytes"
"stable_runtime_source","queue","daily_queue_reader","javascript","src/queue/dailyQueueReader.js","True","76737a6582c93ba4330a8e0e8f4fcc4dc7380585cc265d8f2675c9e20c7c0620","1349"
"stable_runtime_source","queue","python_process_runner","javascript","src/queue/pythonProcessRunner.js","True","ab40b61eecaf9731dd8708c5e3e4f090f79b68242901c445610b718f4e53aab0","4440"
"stable_runtime_source","gpt_browser_bridge","button_handlers","javascript","src/gpt_browser_bridge/buttonHandlers.js","True","d69be4e9afcc5864af7e1b38529b98c57064a2aa96b23883dea32e112c03343b","11707"
"stable_runtime_source","gpt_browser_bridge","diagnostics","javascript","src/gpt_browser_bridge/diagnostics.js","True","8aff7147a926623668d25bae5c8f9081a5c7552c8dc0d64eea8b15ce8b20d89e","11124"
"stable_runtime_source","gpt_browser_bridge","file_name_safe","javascript","src/gpt_browser_bridge/fileNameSafe.js","True","e2e55ca1e08a8b96c62d77348b66dccbf3c570cce9a0fa2a78452098609431f5","1074"
"stable_runtime_source","gpt_browser_bridge","stage1_self_check","javascript","src/gpt_browser_bridge/stage1SelfCheck.js","True","dde37d7fa1ec956e4bee30d24e3eed1d968380eb905bd4ce4aec60f3ff41ebda","11008"
"stable_runtime_source","pc_agent_routing","b2_w12_prefinal_validator","python","src/pc_agent_routing/B2_W12_PREFINAL_VALIDATOR.py","True","371b0480110f4f5766202bdaabf2134617b5dcf1b03c3fa7a59501a14d033792","10379"
"stable_runtime_source","pc_agent_routing","event_consumption_store","python","src/pc_agent_routing/event_consumption_store.py","True","6ae1df3747b0bf3611fc0bbf904be1ea2033bef415a33e4ec0f4a4cd99207a73","1051"
"stable_runtime_source","pc_agent_routing","resource_doctor","python","src/pc_agent_routing/resource_doctor.py","True","91f4d5cee4fb08e34a2c75fbb3d41ff8a0b2a583dead63a511283a3b50b15d70","1024"
"ops_reference","gpt_browser_bridge","stage1_diagnostic_runner","batch","ops_import/p0_ops_import_20260731_013239/P0_GPT_BROWSER_BRIDGE/3d07ea5055b8_RUN_STAGE1_DIAGNOSTIC.bat","True","3d07ea5055b87df89b9039d0d3508b828b410b8002b143f201d83fc02c1df470","1099"
"ops_reference","gpt_browser_bridge","hosted_windows_pc_agent_build","github_actions","ops_import/p0_ops_import_20260731_013239/P0_GPT_BROWSER_BRIDGE/cb4b65aaf72f_a4-hosted-windows-pc-agent-build-v4.yml","True","cb4b65aaf72f33cb414bff7dc0d1f4788f5ccd2e47250bfdf318982dde3d064e","10133"
