"index","copied","reason","category","source_path","destination_path","sha256","file_name"
"1","False","SOURCE_NOT_FOUND","P0_DAILY_QUEUE_RUNNER","","","","pythonProcessRunner.js"
"2","False","SOURCE_NOT_FOUND","P0_DAILY_QUEUE_RUNNER","","","","pythonProcessRunner.js"
"3","False","SOURCE_NOT_FOUND","P0_DAILY_QUEUE_RUNNER","","","","W01_YOLLA_SCAN_REPLAY_EVIDENCE_LAB_V1_PROMPT.txt"
"4","False","SOURCE_NOT_FOUND","P0_DAILY_QUEUE_RUNNER","","","","pythonProcessRunner.js"
"5","False","SOURCE_NOT_FOUND","P0_DAILY_QUEUE_RUNNER","","","","promptBuilder.js"
"6","False","SOURCE_NOT_FOUND","P0_DAILY_QUEUE_RUNNER","","","","promptBuilder.js"
"7","False","SOURCE_NOT_FOUND","P0_DAILY_QUEUE_RUNNER","","","","pythonProcessRunner.js"
"8","False","SOURCE_NOT_FOUND","P0_DAILY_QUEUE_RUNNER","","","","W04_VERIFIER_FIX_AND_FINAL_INTEGRATION_THIRD_PASS_PROMPT.txt"
"9","False","SOURCE_NOT_FOUND","P0_DAILY_QUEUE_RUNNER","","","","W07_YOLLA_ADAPTER_COMPILER_DABANG_REFERENCE_V1_PROMPT.txt"
"10","False","SOURCE_NOT_FOUND","P0_DAILY_QUEUE_RUNNER","","","","W12B_W04_REAL_SITE_MRI_RUN_PROMPT.md"
"11","False","SOURCE_NOT_FOUND","P0_DAILY_QUEUE_RUNNER","","","","W03_YOLLA_UI_ROUTE_COVERAGE_EXPLORATION_PLANNER_V1_PROMPT.txt"
"12","False","SOURCE_NOT_FOUND","P0_DAILY_QUEUE_RUNNER","","","","W02_PACKAGING_CORRECTION_PROMPT.txt"
"13","False","SOURCE_NOT_FOUND","P0_DAILY_QUEUE_RUNNER","","","","W02_YOLLA_NETWORK_CONTRACT_DRIFT_ANALYZER_V1_PROMPT.txt"
"14","False","SOURCE_NOT_FOUND","P0_DAILY_QUEUE_RUNNER","","","","W03_PACKAGING_CORRECTION_PROMPT.txt"
"15","False","SOURCE_NOT_FOUND","P0_DAILY_QUEUE_RUNNER","","","","006_GAS_STATION_PORTAL_EXAMPLES_PROMPT.md"
"16","False","SOURCE_NOT_FOUND","P0_DAILY_QUEUE_RUNNER","","","","DAILY_QUEUE_RUNNER_SPEC.md"
"17","False","SOURCE_NOT_FOUND","P0_DAILY_QUEUE_RUNNER","","","","dailyQueueReader.js"
"18","False","SOURCE_NOT_FOUND","P0_DAILY_QUEUE_RUNNER","","","","005_STAGE4_LEGACY_SOURCE_ARCHIVE_PROMPT.md"
"19","False","SOURCE_NOT_FOUND","P0_DAILY_QUEUE_RUNNER","","","","000_SOURCE_MIGRATION_DAILY_PLAN.json"
"20","False","SOURCE_NOT_FOUND","P0_DAILY_QUEUE_RUNNER","","","","001_SOURCE_FACTORY_LOCAL_SOURCE_INVENTORY_EXECUTION.md"
