id,item_name,edited_value,__source_row_pointer,__source_element_pointers
1,Fixture Item 01,100,"{""jsonPointer"":""/records/0"",""page"":1,""pageUrl"":""http://127.0.0.1:38197/api/items?page=1&run_id=b5-wave2-live10-20260807-001&fail_once=1"",""provider"":""B-4"",""rowIndex"":0,""runId"":""b5-wave2-live10-20260807-001""}","{""category"":{""kind"":""json-pointer"",""pointer"":""/records/0/category""},""id"":{""kind"":""json-pointer"",""pointer"":""/records/0/id""},""name"":{""kind"":""json-pointer"",""pointer"":""/records/0/name""},""value"":{""kind"":""json-pointer"",""pointer"":""/records/0/value""}}"
2,Fixture Item 02,200,"{""jsonPointer"":""/records/1"",""page"":1,""pageUrl"":""http://127.0.0.1:38197/api/items?page=1&run_id=b5-wave2-live10-20260807-001&fail_once=1"",""provider"":""B-4"",""rowIndex"":1,""runId"":""b5-wave2-live10-20260807-001""}","{""category"":{""kind"":""json-pointer"",""pointer"":""/records/1/category""},""id"":{""kind"":""json-pointer"",""pointer"":""/records/1/id""},""name"":{""kind"":""json-pointer"",""pointer"":""/records/1/name""},""value"":{""kind"":""json-pointer"",""pointer"":""/records/1/value""}}"
3,Fixture Item 03,300,"{""jsonPointer"":""/records/2"",""page"":1,""pageUrl"":""http://127.0.0.1:38197/api/items?page=1&run_id=b5-wave2-live10-20260807-001&fail_once=1"",""provider"":""B-4"",""rowIndex"":2,""runId"":""b5-wave2-live10-20260807-001""}","{""category"":{""kind"":""json-pointer"",""pointer"":""/records/2/category""},""id"":{""kind"":""json-pointer"",""pointer"":""/records/2/id""},""name"":{""kind"":""json-pointer"",""pointer"":""/records/2/name""},""value"":{""kind"":""json-pointer"",""pointer"":""/records/2/value""}}"
4,Fixture Item 04,400,"{""jsonPointer"":""/records/3"",""page"":1,""pageUrl"":""http://127.0.0.1:38197/api/items?page=1&run_id=b5-wave2-live10-20260807-001&fail_once=1"",""provider"":""B-4"",""rowIndex"":3,""runId"":""b5-wave2-live10-20260807-001""}","{""category"":{""kind"":""json-pointer"",""pointer"":""/records/3/category""},""id"":{""kind"":""json-pointer"",""pointer"":""/records/3/id""},""name"":{""kind"":""json-pointer"",""pointer"":""/records/3/name""},""value"":{""kind"":""json-pointer"",""pointer"":""/records/3/value""}}"
5,Fixture Item 05,5550,"{""jsonPointer"":""/records/4"",""page"":1,""pageUrl"":""http://127.0.0.1:38197/api/items?page=1&run_id=b5-wave2-live10-20260807-001&fail_once=1"",""provider"":""B-4"",""rowIndex"":4,""runId"":""b5-wave2-live10-20260807-001""}","{""category"":{""kind"":""json-pointer"",""pointer"":""/records/4/category""},""id"":{""kind"":""json-pointer"",""pointer"":""/records/4/id""},""name"":{""kind"":""json-pointer"",""pointer"":""/records/4/name""},""value"":{""kind"":""json-pointer"",""pointer"":""/records/4/value""}}"
6,Fixture Item 06,600,"{""jsonPointer"":""/records/0"",""page"":2,""pageUrl"":""http://127.0.0.1:38197/api/items?page=2&run_id=b5-wave2-live10-20260807-001&fail_once=1"",""provider"":""B-4"",""rowIndex"":0,""runId"":""b5-wave2-live10-20260807-001""}","{""category"":{""kind"":""json-pointer"",""pointer"":""/records/0/category""},""id"":{""kind"":""json-pointer"",""pointer"":""/records/0/id""},""name"":{""kind"":""json-pointer"",""pointer"":""/records/0/name""},""value"":{""kind"":""json-pointer"",""pointer"":""/records/0/value""}}"
7,Fixture Item 07,700,"{""jsonPointer"":""/records/1"",""page"":2,""pageUrl"":""http://127.0.0.1:38197/api/items?page=2&run_id=b5-wave2-live10-20260807-001&fail_once=1"",""provider"":""B-4"",""rowIndex"":1,""runId"":""b5-wave2-live10-20260807-001""}","{""category"":{""kind"":""json-pointer"",""pointer"":""/records/1/category""},""id"":{""kind"":""json-pointer"",""pointer"":""/records/1/id""},""name"":{""kind"":""json-pointer"",""pointer"":""/records/1/name""},""value"":{""kind"":""json-pointer"",""pointer"":""/records/1/value""}}"
8,Fixture Item 08,800,"{""jsonPointer"":""/records/2"",""page"":2,""pageUrl"":""http://127.0.0.1:38197/api/items?page=2&run_id=b5-wave2-live10-20260807-001&fail_once=1"",""provider"":""B-4"",""rowIndex"":2,""runId"":""b5-wave2-live10-20260807-001""}","{""category"":{""kind"":""json-pointer"",""pointer"":""/records/2/category""},""id"":{""kind"":""json-pointer"",""pointer"":""/records/2/id""},""name"":{""kind"":""json-pointer"",""pointer"":""/records/2/name""},""value"":{""kind"":""json-pointer"",""pointer"":""/records/2/value""}}"
9,Fixture Item 09,900,"{""jsonPointer"":""/records/3"",""page"":2,""pageUrl"":""http://127.0.0.1:38197/api/items?page=2&run_id=b5-wave2-live10-20260807-001&fail_once=1"",""provider"":""B-4"",""rowIndex"":3,""runId"":""b5-wave2-live10-20260807-001""}","{""category"":{""kind"":""json-pointer"",""pointer"":""/records/3/category""},""id"":{""kind"":""json-pointer"",""pointer"":""/records/3/id""},""name"":{""kind"":""json-pointer"",""pointer"":""/records/3/name""},""value"":{""kind"":""json-pointer"",""pointer"":""/records/3/value""}}"
10,Fixture Item 10,1000,"{""jsonPointer"":""/records/4"",""page"":2,""pageUrl"":""http://127.0.0.1:38197/api/items?page=2&run_id=b5-wave2-live10-20260807-001&fail_once=1"",""provider"":""B-4"",""rowIndex"":4,""runId"":""b5-wave2-live10-20260807-001""}","{""category"":{""kind"":""json-pointer"",""pointer"":""/records/4/category""},""id"":{""kind"":""json-pointer"",""pointer"":""/records/4/id""},""name"":{""kind"":""json-pointer"",""pointer"":""/records/4/name""},""value"":{""kind"":""json-pointer"",""pointer"":""/records/4/value""}}"
